gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,3,20,27.2,3.0,4.8,3.5,77,40,0,0,0,0,1,0,False,3
2,14,41,18.5,22.0,53.4,9.4,90,40,1,0,1,0,0,0,True,7
3,0,4,9.1,18.0,3.0,3.0,90,41,0,0,1,0,2,0,True,9
4,1,12,2.4,4.0,7.8,1.4,90,42,0,0,0,0,2,0,False,6
5,2,14,14.0,0.0,11.0,2.5,71,42,0,0,0,0,1,0,True,16
6,12,33,15.4,0.0,35.6,5.1,90,43,0,1,0,0,0,0,False,8
7,2,11,16.3,38.0,11.8,6.6,90,44,0,0,0,0,1,0,True,10
8,5,20,27.5,6.0,11.0,4.5,90,45,0,0,1,0,0,0,False,18
9,6,20,13.4,2.0,9.2,2.5,90,45,0,0,0,0,0,0,True,1
10,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,19
11,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,5
12,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,17
13,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,12
14,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,20
15,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,13
16,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,14
17,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,2
18,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,4
19,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,18
20,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,11
21,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,10
22,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,19
23,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,1
24,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,11
25,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,7
26,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,3
27,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,4
28,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,14
29,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,17
30,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,5
31,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,20
32,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,6
33,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,9
34,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,8
35,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,16
