gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,10
2,6,24,1.6,0.0,12.4,1.4,90,45,0,0,0,0,0,0,False,4
3,2,6,12.3,0.0,17.4,3.0,72,45,0,1,0,1,1,0,True,12
4,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,15
5,0,3,0.5,0.0,5.0,0.6,45,45,0,0,0,0,2,0,True,3
6,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,17
7,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,6
8,1,1,0.0,4.0,0.0,0.2,8,44,0,0,0,0,0,0,False,20
9,-1,4,11.3,2.0,11.8,2.5,45,44,0,0,0,0,4,0,True,9
10,?,?,?,?,?,?,16,?,?,?,?,?,?,?,?,9
11,?,?,?,?,?,?,16,?,?,?,?,?,?,?,?,11
12,?,?,?,?,?,?,16,?,?,?,?,?,?,?,?,8
13,?,?,?,?,?,?,16,?,?,?,?,?,?,?,?,1
14,?,?,?,?,?,?,16,?,?,?,?,?,?,?,?,18
15,?,?,?,?,?,?,16,?,?,?,?,?,?,?,?,14
16,?,?,?,?,?,?,16,?,?,?,?,?,?,?,?,13
17,?,?,?,?,?,?,16,?,?,?,?,?,?,?,?,19
18,?,?,?,?,?,?,16,?,?,?,?,?,?,?,?,2
19,?,?,?,?,?,?,16,?,?,?,?,?,?,?,?,6
20,?,?,?,?,?,?,16,?,?,?,?,?,?,?,?,7
21,?,?,?,?,?,?,16,?,?,?,?,?,?,?,?,17
22,?,?,?,?,?,?,16,?,?,?,?,?,?,?,?,9
23,?,?,?,?,?,?,16,?,?,?,?,?,?,?,?,20
24,?,?,?,?,?,?,16,?,?,?,?,?,?,?,?,7
25,?,?,?,?,?,?,16,?,?,?,?,?,?,?,?,10
26,?,?,?,?,?,?,16,?,?,?,?,?,?,?,?,5
27,?,?,?,?,?,?,16,?,?,?,?,?,?,?,?,2
28,?,?,?,?,?,?,16,?,?,?,?,?,?,?,?,19
29,?,?,?,?,?,?,16,?,?,?,?,?,?,?,?,13
30,?,?,?,?,?,?,16,?,?,?,?,?,?,?,?,18
31,?,?,?,?,?,?,16,?,?,?,?,?,?,?,?,11
32,?,?,?,?,?,?,16,?,?,?,?,?,?,?,?,8
33,?,?,?,?,?,?,16,?,?,?,?,?,?,?,?,12
34,?,?,?,?,?,?,16,?,?,?,?,?,?,?,?,4
35,?,?,?,?,?,?,16,?,?,?,?,?,?,?,?,3
36,?,?,?,?,?,?,16,?,?,?,?,?,?,?,?,15
