gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

116,0,0,0.0,0.0,0.0,0.0,0,60,0,0,0,0,0,0,True,18
117,1,6,6.8,21.0,7.4,3.5,29,59,0,0,0,0,1,0,False,2
118,9,30,15.7,21.0,46.6,8.3,75,59,1,0,0,0,2,0,True,20
119,2,8,14.3,58.0,11.2,8.4,90,59,0,0,0,0,3,0,False,3
120,1,4,13.3,2.0,4.4,2.0,35,59,0,0,0,0,1,0,True,15
121,2,9,31.8,6.0,6.4,4.4,66,59,0,0,0,0,2,0,True,11
122,2,15,18.9,58.0,13.6,9.1,90,59,0,0,0,0,1,0,False,5
123,3,10,27.3,28.0,15.6,7.1,86,58,0,0,0,0,0,0,True,19
