gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

116,1,0,1.2,58.0,6.4,6.6,45,70,0,0,0,0,1,0,False,4
117,4,8,14.6,54.0,11.2,8.0,35,70,0,1,0,0,0,0,False,18
118,0,0,0.0,0.0,0.0,0.0,0,70,0,0,0,0,0,0,True,14
119,0,0,0.0,0.0,0.0,0.0,0,69,0,0,0,0,0,0,False,2
120,0,0,0.0,0.0,0.0,0.0,0,69,0,0,0,0,0,0,True,12
121,0,0,0.0,0.0,0.0,0.0,0,69,0,0,0,0,0,0,False,3
122,0,0,0.0,0.0,0.0,0.0,0,69,0,0,0,0,0,0,True,7
123,0,0,0.0,0.0,0.0,0.0,0,69,0,0,0,0,0,0,False,8
