gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

116,1,15,14.4,2.0,25.6,4.2,90,45,0,0,0,0,2,0,True,3
117,7,27,0.0,4.0,23.4,2.7,90,45,0,0,0,0,0,0,True,8
118,2,15,0.8,0.0,27.6,2.8,90,45,0,0,0,0,1,0,False,7
119,5,25,0.5,2.0,15.2,1.8,90,46,0,0,1,0,0,0,True,19
120,1,11,0.3,4.0,17.6,2.2,90,46,0,0,0,0,3,0,False,1
121,1,16,0.3,0.0,26.6,2.7,90,46,0,0,0,0,2,0,True,5
122,2,7,0.3,2.0,26.4,2.9,90,46,0,0,0,0,1,0,False,14
123,2,16,1.2,0.0,12.6,1.4,90,46,0,0,0,0,1,0,True,4
