gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

76,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,10
77,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,4
78,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,12
79,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,15
80,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,3
81,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,17
82,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,6
83,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,20
