gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,False,19
2,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0,0,0,0,True,17
3,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0,0,0,0,False,3
4,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,True,4
5,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,False,14
6,0,14,34.7,2.0,12.8,5.0,45,48,0,0,1,0,0,0,True,18
7,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,False,8
8,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,True,20
9,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,False,7
10,1,5,0.7,0.0,4.4,0.5,17,47,0,0,0,0,0,0,True,2
11,?,?,?,?,?,?,11,?,?,?,?,?,?,?,?,16
12,?,?,?,?,?,?,11,?,?,?,?,?,?,?,?,10
13,?,?,?,?,?,?,11,?,?,?,?,?,?,?,?,6
14,?,?,?,?,?,?,11,?,?,?,?,?,?,?,?,13
15,?,?,?,?,?,?,11,?,?,?,?,?,?,?,?,5
16,?,?,?,?,?,?,11,?,?,?,?,?,?,?,?,12
17,?,?,?,?,?,?,11,?,?,?,?,?,?,?,?,1
18,?,?,?,?,?,?,11,?,?,?,?,?,?,?,?,9
19,?,?,?,?,?,?,11,?,?,?,?,?,?,?,?,20
20,?,?,?,?,?,?,11,?,?,?,?,?,?,?,?,15
21,?,?,?,?,?,?,11,?,?,?,?,?,?,?,?,8
22,?,?,?,?,?,?,11,?,?,?,?,?,?,?,?,2
23,?,?,?,?,?,?,11,?,?,?,?,?,?,?,?,7
24,?,?,?,?,?,?,11,?,?,?,?,?,?,?,?,15
25,?,?,?,?,?,?,11,?,?,?,?,?,?,?,?,17
26,?,?,?,?,?,?,11,?,?,?,?,?,?,?,?,19
27,?,?,?,?,?,?,11,?,?,?,?,?,?,?,?,9
28,?,?,?,?,?,?,11,?,?,?,?,?,?,?,?,12
29,?,?,?,?,?,?,11,?,?,?,?,?,?,?,?,10
30,?,?,?,?,?,?,11,?,?,?,?,?,?,?,?,16
31,?,?,?,?,?,?,11,?,?,?,?,?,?,?,?,4
32,?,?,?,?,?,?,11,?,?,?,?,?,?,?,?,3
33,?,?,?,?,?,?,11,?,?,?,?,?,?,?,?,18
34,?,?,?,?,?,?,11,?,?,?,?,?,?,?,?,14
