gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,11
2,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,4
3,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,18
4,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,14
5,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,2
6,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,12
7,2,11,0.0,0.0,20.4,2.0,56,44,0,0,0,0,1,3,False,3
8,1,10,0.0,0.0,7.0,0.7,90,44,0,0,0,0,2,1,True,7
9,5,28,0.0,0.0,54.0,5.4,90,44,0,0,0,0,2,9,False,8
10,2,13,0.0,0.0,19.0,1.9,90,44,0,0,0,0,1,2,True,15
11,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,13
12,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,5
13,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,17
14,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,6
15,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,20
16,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,1
17,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,16
18,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,7
19,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,9
20,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,3
21,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,15
22,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,8
23,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,9
24,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,10
25,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,4
26,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,11
27,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,10
28,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,16
29,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,1
30,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,6
31,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,13
32,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,5
33,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,14
34,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,18
35,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,12
36,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,2
