gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,2,10,33.9,2.0,15.6,5.2,90,45,0,0,0,0,4,0,False,10
2,10,33,58.3,41.0,46.6,14.6,90,45,0,2,0,0,1,0,True,13
3,7,26,2.2,37.0,38.0,7.7,90,46,1,0,0,0,3,0,True,6
4,2,1,3.1,8.0,0.2,1.1,77,47,0,0,0,0,2,0,False,19
5,6,24,12.8,33.0,46.0,9.2,90,48,1,0,1,0,2,0,True,11
6,2,14,15.5,28.0,8.2,5.2,89,49,0,0,0,0,2,0,False,5
7,2,-3,2.5,52.0,3.8,5.8,80,50,0,0,0,0,1,0,False,7
8,2,15,37.3,49.0,21.0,10.7,79,50,0,0,0,0,4,0,True,2
9,3,7,13.8,6.0,5.6,2.5,80,49,0,0,0,0,0,0,False,3
10,1,-7,11.3,11.0,0.0,1.6,45,49,0,0,0,0,2,0,True,12
11,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,4
12,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,18
13,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,8
14,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,1
15,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,16
16,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,15
17,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,9
18,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,20
19,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,2
20,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,17
21,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,7
22,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,12
23,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,3
24,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,17
25,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,13
26,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,10
27,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,20
28,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,9
29,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,15
30,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,1
31,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,4
32,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,18
33,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,19
34,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,6
35,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,5
36,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,11
