gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

11,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,3
12,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,4
13,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,15
14,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,2
15,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,17
16,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,11
17,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,8
18,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,18
19,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,13
20,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,5
21,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,1
22,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,14
23,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,10
24,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,5
25,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,20
26,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,6
27,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,18
28,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,8
29,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,11
30,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,4
31,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,3
32,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,2
33,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,16
34,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,7
35,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,19
36,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,9
