gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

11,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,10
12,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,20
13,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,13
14,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,12
15,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,6
16,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,9
17,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,15
18,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,16
19,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,14
20,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,18
21,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,5
22,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,11
23,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,4
24,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,18
25,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,3
26,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,17
27,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,16
28,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,9
29,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,20
30,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,10
31,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,12
32,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,7
33,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,8
34,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,1
35,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,19
