gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

125,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,9
126,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,6
127,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,10
128,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,5
129,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,3
130,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,18
131,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,4
132,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,13
133,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,19
134,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,16
135,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,14
136,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,1
137,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,11
138,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,16
139,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,15
140,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,8
141,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,13
142,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,4
143,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,18
144,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,5
145,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,9
146,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,6
147,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,2
148,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,12
149,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,20
150,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,17
