gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

62,?,?,?,?,?,?,87,?,?,?,?,?,?,?,?,19
63,?,?,?,?,?,?,87,?,?,?,?,?,?,?,?,3
64,?,?,?,?,?,?,87,?,?,?,?,?,?,?,?,2
65,?,?,?,?,?,?,87,?,?,?,?,?,?,?,?,11
66,?,?,?,?,?,?,87,?,?,?,?,?,?,?,?,15
67,?,?,?,?,?,?,87,?,?,?,?,?,?,?,?,16
68,?,?,?,?,?,?,87,?,?,?,?,?,?,?,?,5
69,?,?,?,?,?,?,87,?,?,?,?,?,?,?,?,7
70,?,?,?,?,?,?,87,?,?,?,?,?,?,?,?,12
71,?,?,?,?,?,?,87,?,?,?,?,?,?,?,?,8
72,?,?,?,?,?,?,87,?,?,?,?,?,?,?,?,9
73,?,?,?,?,?,?,87,?,?,?,?,?,?,?,?,20
74,?,?,?,?,?,?,87,?,?,?,?,?,?,?,?,6
75,?,?,?,?,?,?,87,?,?,?,?,?,?,?,?,8
76,?,?,?,?,?,?,87,?,?,?,?,?,?,?,?,14
77,?,?,?,?,?,?,87,?,?,?,?,?,?,?,?,1
78,?,?,?,?,?,?,87,?,?,?,?,?,?,?,?,7
79,?,?,?,?,?,?,87,?,?,?,?,?,?,?,?,5
80,?,?,?,?,?,?,87,?,?,?,?,?,?,?,?,16
81,?,?,?,?,?,?,87,?,?,?,?,?,?,?,?,3
82,?,?,?,?,?,?,87,?,?,?,?,?,?,?,?,19
83,?,?,?,?,?,?,87,?,?,?,?,?,?,?,?,18
84,?,?,?,?,?,?,87,?,?,?,?,?,?,?,?,17
85,?,?,?,?,?,?,87,?,?,?,?,?,?,?,?,4
86,?,?,?,?,?,?,87,?,?,?,?,?,?,?,?,10
