gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

49,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,5
50,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,17
51,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,12
52,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,20
53,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,13
54,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,14
55,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,2
56,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,4
57,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,18
58,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,11
59,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,10
60,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,19
61,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,1
62,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,11
63,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,7
64,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,3
65,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,4
66,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,14
67,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,17
68,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,5
69,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,20
70,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,6
71,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,9
72,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,8
73,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,16
