gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

125,?,?,?,?,?,?,12,?,?,?,?,?,?,?,?,19
126,?,?,?,?,?,?,12,?,?,?,?,?,?,?,?,3
127,?,?,?,?,?,?,12,?,?,?,?,?,?,?,?,2
128,?,?,?,?,?,?,12,?,?,?,?,?,?,?,?,11
129,?,?,?,?,?,?,12,?,?,?,?,?,?,?,?,15
130,?,?,?,?,?,?,12,?,?,?,?,?,?,?,?,16
131,?,?,?,?,?,?,12,?,?,?,?,?,?,?,?,5
132,?,?,?,?,?,?,12,?,?,?,?,?,?,?,?,7
133,?,?,?,?,?,?,12,?,?,?,?,?,?,?,?,12
134,?,?,?,?,?,?,12,?,?,?,?,?,?,?,?,8
135,?,?,?,?,?,?,12,?,?,?,?,?,?,?,?,9
136,?,?,?,?,?,?,12,?,?,?,?,?,?,?,?,20
137,?,?,?,?,?,?,12,?,?,?,?,?,?,?,?,6
138,?,?,?,?,?,?,12,?,?,?,?,?,?,?,?,8
139,?,?,?,?,?,?,12,?,?,?,?,?,?,?,?,14
140,?,?,?,?,?,?,12,?,?,?,?,?,?,?,?,1
141,?,?,?,?,?,?,12,?,?,?,?,?,?,?,?,7
142,?,?,?,?,?,?,12,?,?,?,?,?,?,?,?,5
143,?,?,?,?,?,?,12,?,?,?,?,?,?,?,?,16
144,?,?,?,?,?,?,12,?,?,?,?,?,?,?,?,3
145,?,?,?,?,?,?,12,?,?,?,?,?,?,?,?,19
146,?,?,?,?,?,?,12,?,?,?,?,?,?,?,?,18
147,?,?,?,?,?,?,12,?,?,?,?,?,?,?,?,17
148,?,?,?,?,?,?,12,?,?,?,?,?,?,?,?,4
149,?,?,?,?,?,?,12,?,?,?,?,?,?,?,?,10
