gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

49,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,1
50,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,2
51,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,3
52,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,15
53,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,19
54,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,4
55,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,17
56,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,14
57,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,11
58,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,10
59,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,18
60,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,13
61,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,16
62,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,10
63,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,12
64,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,9
65,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,14
66,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,17
67,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,4
68,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,2
69,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,1
70,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,15
71,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,8
72,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,5
73,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,7
74,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,6
