gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

117,2,10,0.0,0.0,9.2,0.9,90,45,0,0,0,0,1,2,True,1
118,6,25,0.0,0.0,20.8,2.1,90,45,0,0,0,0,0,2,False,5
119,2,7,0.0,0.0,4.6,0.5,90,46,0,0,0,0,1,0,True,13
120,2,12,0.0,0.0,12.4,1.2,90,46,0,0,0,0,1,1,False,6
121,5,22,0.0,0.0,15.8,1.6,90,46,0,0,1,0,0,2,False,15
122,2,10,0.0,0.0,4.8,0.5,90,46,0,0,0,0,1,0,True,9
123,0,0,0.0,0.0,0.0,0.0,0,46,0,0,0,0,0,0,False,12
124,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,17
