gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

117,5,11,20.5,19.0,5.0,4.5,68,79,0,1,0,0,3,0,True,11
118,5,22,23.4,19.0,36.0,7.8,90,79,1,0,1,0,3,0,False,9
119,13,46,1.0,54.0,65.8,12.1,90,78,2,0,0,0,1,0,True,8
120,7,30,0.8,21.0,37.8,6.0,90,78,1,0,0,0,1,0,False,16
121,6,24,12.3,84.0,46.6,14.3,90,78,1,0,0,0,2,0,True,19
122,2,14,22.7,17.0,11.6,5.1,90,79,0,0,0,0,1,0,False,1
123,2,6,14.6,17.0,3.4,3.5,90,80,0,0,0,0,0,0,True,14
124,1,0,4.4,2.0,0.8,0.7,73,80,0,0,1,0,0,0,False,18
