gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

41,6,24,37.0,46.0,24.2,10.7,90,70,0,1,0,0,1,0,False,15
42,2,5,19.7,29.0,4.4,5.3,85,71,0,0,0,0,1,0,True,3
43,1,2,9.3,21.0,13.0,4.3,90,71,0,0,1,0,1,0,False,12
44,10,33,30.9,44.0,44.2,11.9,90,71,1,0,0,0,1,0,True,17
45,0,0,0.0,0.0,0.0,0.0,0,71,0,0,0,0,0,0,True,13
46,7,26,14.3,21.0,38.6,7.4,85,71,1,0,0,0,1,0,False,10
47,2,11,32.6,35.0,9.2,7.7,72,72,0,0,0,0,1,0,True,5
48,8,34,20.4,25.0,52.4,9.8,90,72,1,0,0,0,0,0,False,16
