gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

55,1,-3,0.0,11.0,0.0,0.9,22,55,0,0,0,0,1,0,True,16
56,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0,False,11
57,0,0,0.0,0.0,0.0,0.0,0,53,0,0,0,0,0,0,True,5
58,0,0,0.0,0.0,0.0,0.0,0,53,0,0,0,0,0,0,False,13
59,0,0,0.0,0.0,0.0,0.0,0,53,0,0,0,0,0,0,False,6
60,0,0,0.0,0.0,0.0,0.0,0,53,0,0,0,0,0,0,True,17
61,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0,False,2
62,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0,True,8
