gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,1,1,0.1,0.0,0.2,0.0,24,45,0,0,0,0,1,0,False,11
2,1,1,0.3,21.0,1.0,2.2,6,45,0,0,0,0,1,0,True,5
3,1,1,4.8,18.0,2.0,2.5,20,45,0,0,0,0,0,0,False,13
4,1,2,0.6,0.0,0.2,0.1,25,45,0,0,0,0,1,0,False,6
5,13,53,23.8,107.0,70.2,20.1,79,45,2,0,0,0,0,0,True,17
6,1,3,10.6,21.0,4.4,3.6,45,45,0,0,0,0,1,0,False,2
7,8,22,0.3,2.0,0.0,0.2,79,46,0,2,0,0,2,0,True,8
8,2,2,5.8,46.0,0.0,4.8,85,46,0,0,0,0,0,0,True,14
9,1,-5,1.3,4.0,0.0,0.3,45,47,0,0,0,0,2,0,False,12
10,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,True,9
11,2,-1,1.7,17.0,1.2,2.0,75,47,0,0,0,0,2,0,False,10
12,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,12
13,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,9
14,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,10
15,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,1
16,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,20
17,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,7
18,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,15
19,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,17
20,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,3
21,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,6
22,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,8
23,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,2
24,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,3
25,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,19
26,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,18
27,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,15
28,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,7
29,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,20
30,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,12
31,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,14
32,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,10
33,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,11
34,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,16
35,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,13
36,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,5
