gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,1
2,-1,5,0.1,0.0,3.4,0.4,32,40,0,0,0,0,5,0,False,11
3,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,20
4,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,15
5,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,17
6,1,3,0.4,0.0,1.4,0.2,17,40,0,0,0,0,0,0,True,3
7,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,6
8,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,14
9,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,5
10,1,4,0.5,0.0,3.2,0.4,8,40,0,0,0,0,1,0,False,16
11,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,9
12,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,14
13,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,5
14,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,16
15,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,9
16,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,7
17,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,10
18,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,12
19,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,15
20,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,2
21,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,20
22,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,3
23,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,17
24,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,2
25,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,8
26,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,4
27,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,12
28,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,10
29,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,7
30,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,16
31,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,6
32,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,14
33,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,13
34,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,19
35,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,11
36,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,1
