gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,10
2,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,13
3,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,6
4,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,19
5,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,11
6,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,5
7,2,8,0.0,0.0,1.4,0.1,68,40,0,0,0,0,1,0,False,7
8,9,38,0.0,0.0,63.6,6.4,90,40,0,0,0,0,5,7,True,2
9,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,3
10,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,12
11,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,4
12,?,?,?,?,?,?,31,?,?,?,?,?,?,?,?,18
13,?,?,?,?,?,?,31,?,?,?,?,?,?,?,?,8
14,?,?,?,?,?,?,31,?,?,?,?,?,?,?,?,1
15,?,?,?,?,?,?,31,?,?,?,?,?,?,?,?,16
16,?,?,?,?,?,?,31,?,?,?,?,?,?,?,?,15
17,?,?,?,?,?,?,31,?,?,?,?,?,?,?,?,9
18,?,?,?,?,?,?,31,?,?,?,?,?,?,?,?,20
19,?,?,?,?,?,?,31,?,?,?,?,?,?,?,?,2
20,?,?,?,?,?,?,31,?,?,?,?,?,?,?,?,17
21,?,?,?,?,?,?,31,?,?,?,?,?,?,?,?,7
22,?,?,?,?,?,?,31,?,?,?,?,?,?,?,?,12
23,?,?,?,?,?,?,31,?,?,?,?,?,?,?,?,3
24,?,?,?,?,?,?,31,?,?,?,?,?,?,?,?,17
25,?,?,?,?,?,?,31,?,?,?,?,?,?,?,?,13
26,?,?,?,?,?,?,31,?,?,?,?,?,?,?,?,10
27,?,?,?,?,?,?,31,?,?,?,?,?,?,?,?,20
28,?,?,?,?,?,?,31,?,?,?,?,?,?,?,?,9
29,?,?,?,?,?,?,31,?,?,?,?,?,?,?,?,15
30,?,?,?,?,?,?,31,?,?,?,?,?,?,?,?,1
31,?,?,?,?,?,?,31,?,?,?,?,?,?,?,?,4
32,?,?,?,?,?,?,31,?,?,?,?,?,?,?,?,18
33,?,?,?,?,?,?,31,?,?,?,?,?,?,?,?,19
34,?,?,?,?,?,?,31,?,?,?,?,?,?,?,?,6
35,?,?,?,?,?,?,31,?,?,?,?,?,?,?,?,5
36,?,?,?,?,?,?,31,?,?,?,?,?,?,?,?,11
