gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

12,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,20
13,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,13
14,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,12
15,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,6
16,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,9
17,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,15
18,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,16
19,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,14
20,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,18
21,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,5
22,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,11
23,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,4
24,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,18
25,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,3
26,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,17
27,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,16
28,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,9
29,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,20
30,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,10
31,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,12
32,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,7
33,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,8
34,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,1
35,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,19
