gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

118,?,?,?,?,?,?,23,?,?,?,?,?,?,?,?,11
119,?,?,?,?,?,?,23,?,?,?,?,?,?,?,?,7
120,?,?,?,?,?,?,23,?,?,?,?,?,?,?,?,4
121,?,?,?,?,?,?,23,?,?,?,?,?,?,?,?,8
122,?,?,?,?,?,?,23,?,?,?,?,?,?,?,?,3
123,?,?,?,?,?,?,23,?,?,?,?,?,?,?,?,18
124,?,?,?,?,?,?,23,?,?,?,?,?,?,?,?,9
125,?,?,?,?,?,?,23,?,?,?,?,?,?,?,?,20
126,?,?,?,?,?,?,23,?,?,?,?,?,?,?,?,15
127,?,?,?,?,?,?,23,?,?,?,?,?,?,?,?,17
128,?,?,?,?,?,?,23,?,?,?,?,?,?,?,?,12
129,?,?,?,?,?,?,23,?,?,?,?,?,?,?,?,20
130,?,?,?,?,?,?,23,?,?,?,?,?,?,?,?,19
131,?,?,?,?,?,?,23,?,?,?,?,?,?,?,?,16
132,?,?,?,?,?,?,23,?,?,?,?,?,?,?,?,14
133,?,?,?,?,?,?,23,?,?,?,?,?,?,?,?,19
134,?,?,?,?,?,?,23,?,?,?,?,?,?,?,?,18
135,?,?,?,?,?,?,23,?,?,?,?,?,?,?,?,3
136,?,?,?,?,?,?,23,?,?,?,?,?,?,?,?,11
137,?,?,?,?,?,?,23,?,?,?,?,?,?,?,?,2
138,?,?,?,?,?,?,23,?,?,?,?,?,?,?,?,4
139,?,?,?,?,?,?,23,?,?,?,?,?,?,?,?,5
140,?,?,?,?,?,?,23,?,?,?,?,?,?,?,?,1
141,?,?,?,?,?,?,23,?,?,?,?,?,?,?,?,6
142,?,?,?,?,?,?,23,?,?,?,?,?,?,?,?,13
