gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

22,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,5
23,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,17
24,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,6
25,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,20
26,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,1
27,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,16
28,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,7
29,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,9
30,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,3
31,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,15
32,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,8
33,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,9
34,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,10
35,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,4
36,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,11
37,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,10
38,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,16
39,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,1
40,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,6
41,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,13
42,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,5
43,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,14
44,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,18
45,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,12
46,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,2
