gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

88,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,10
89,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,6
90,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,13
91,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,5
92,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,12
93,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,1
94,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,9
95,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,20
96,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,15
97,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,8
98,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,2
99,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,7
100,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,15
101,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,17
102,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,19
103,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,9
104,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,12
105,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,10
106,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,16
107,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,4
108,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,3
109,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,18
110,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,14
