gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

25,3,10,26.3,24.0,12.2,6.3,82,45,0,0,0,0,0,0,True,3
26,1,7,17.7,14.0,6.2,3.8,90,45,0,0,1,0,1,0,False,15
27,1,2,0.7,2.0,1.8,0.5,29,45,0,0,0,0,0,0,True,7
28,1,0,1.4,2.0,4.0,0.7,17,45,0,0,0,0,1,0,True,20
29,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,9
30,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,16
31,1,3,4.8,6.0,4.0,1.5,12,45,0,0,0,0,0,0,False,14
32,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,4
