gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

42,2,22,0.3,3.0,18.4,2.2,90,45,0,0,0,0,1,0,True,3
43,2,11,0.4,6.0,2.6,0.9,90,45,0,0,0,0,1,0,False,12
44,2,21,0.6,0.0,24.2,2.5,90,46,0,0,0,0,1,0,True,17
45,6,30,1.3,0.0,24.6,2.6,90,46,0,0,0,0,0,0,True,13
46,0,14,0.4,0.0,21.4,2.2,90,46,0,0,1,0,2,0,False,10
47,2,16,0.9,10.0,41.2,5.2,90,47,0,0,0,0,1,0,True,5
48,6,26,1.0,0.0,24.8,2.6,90,47,0,0,0,0,0,0,False,16
49,14,40,0.7,37.0,56.2,9.4,90,47,1,0,1,0,0,0,False,7
