gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,0,0,0.0,0.0,0.0,0.0,0,75,0,0,0,0,0,0,True,2
2,1,3,0.3,0.0,0.0,0.0,5,75,0,0,0,0,0,0,False,11
3,1,4,23.6,1.0,2.4,2.7,28,75,0,0,0,0,0,0,True,13
4,1,2,0.5,0.0,6.4,0.7,11,74,0,0,0,0,0,0,False,1
5,0,0,0.0,0.0,0.0,0.0,0,74,0,0,0,0,0,0,True,7
6,0,0,0.0,0.0,0.0,0.0,0,73,0,0,0,0,0,0,False,9
7,0,0,0.0,0.0,0.0,0.0,0,73,0,0,0,0,0,0,True,16
8,0,0,0.0,0.0,0.0,0.0,0,73,0,0,0,0,0,0,False,4
9,0,0,0.0,0.0,0.0,0.0,0,73,0,0,0,0,0,0,True,18
10,1,3,0.0,2.0,0.6,0.3,2,73,0,0,0,0,0,0,False,10
11,1,2,0.3,0.0,3.2,0.4,17,73,0,0,0,0,1,0,False,8
12,2,15,33.3,13.0,10.8,5.7,90,73,0,0,0,0,1,0,True,15
13,?,?,?,?,?,?,18,?,?,?,?,?,?,?,?,19
14,?,?,?,?,?,?,18,?,?,?,?,?,?,?,?,3
15,?,?,?,?,?,?,18,?,?,?,?,?,?,?,?,12
16,?,?,?,?,?,?,18,?,?,?,?,?,?,?,?,5
17,?,?,?,?,?,?,18,?,?,?,?,?,?,?,?,20
18,?,?,?,?,?,?,18,?,?,?,?,?,?,?,?,6
19,?,?,?,?,?,?,18,?,?,?,?,?,?,?,?,4
20,?,?,?,?,?,?,18,?,?,?,?,?,?,?,?,14
21,?,?,?,?,?,?,18,?,?,?,?,?,?,?,?,16
22,?,?,?,?,?,?,18,?,?,?,?,?,?,?,?,10
23,?,?,?,?,?,?,18,?,?,?,?,?,?,?,?,18
24,?,?,?,?,?,?,18,?,?,?,?,?,?,?,?,14
25,?,?,?,?,?,?,18,?,?,?,?,?,?,?,?,11
26,?,?,?,?,?,?,18,?,?,?,?,?,?,?,?,2
27,?,?,?,?,?,?,18,?,?,?,?,?,?,?,?,6
28,?,?,?,?,?,?,18,?,?,?,?,?,?,?,?,20
29,?,?,?,?,?,?,18,?,?,?,?,?,?,?,?,5
30,?,?,?,?,?,?,18,?,?,?,?,?,?,?,?,15
31,?,?,?,?,?,?,18,?,?,?,?,?,?,?,?,8
32,?,?,?,?,?,?,18,?,?,?,?,?,?,?,?,3
33,?,?,?,?,?,?,18,?,?,?,?,?,?,?,?,1
34,?,?,?,?,?,?,18,?,?,?,?,?,?,?,?,13
35,?,?,?,?,?,?,18,?,?,?,?,?,?,?,?,9
36,?,?,?,?,?,?,18,?,?,?,?,?,?,?,?,7
