gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,10
2,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,4
3,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,9
4,10,31,14.8,8.0,40.0,6.3,90,45,1,0,0,0,0,0,True,12
5,2,3,1.4,0.0,0.0,0.1,90,45,0,0,0,0,1,0,False,6
6,2,13,11.4,2.0,4.0,1.7,89,45,0,0,0,0,1,0,True,20
7,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,19
8,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,3
9,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,2
10,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,11
11,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,15
12,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,16
13,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,2
14,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,11
15,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,15
16,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,16
17,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,5
18,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,7
19,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,12
20,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,8
21,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,9
22,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,20
23,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,6
24,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,8
25,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,14
26,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,1
27,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,7
28,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,5
29,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,16
30,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,3
31,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,19
32,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,18
33,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,17
34,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,4
35,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,10
