gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

89,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,11
90,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,19
91,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,2
92,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,8
93,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,3
94,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,17
95,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,16
96,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,1
97,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,4
98,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,5
99,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,13
100,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,1
101,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,9
102,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,12
103,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,17
104,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,3
105,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,8
106,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,19
107,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,18
108,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,7
109,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,15
110,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,14
111,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,10
112,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,20
