gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

127,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,2
128,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,11
129,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,15
130,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,16
131,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,5
132,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,7
133,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,12
134,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,8
135,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,9
136,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,20
137,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,6
138,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,8
139,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,14
140,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,1
141,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,7
142,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,5
143,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,16
144,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,3
145,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,19
146,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,18
147,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,17
148,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,4
149,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,10
