gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

13,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,9
14,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,10
15,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,1
16,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,20
17,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,7
18,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,15
19,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,17
20,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,3
21,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,6
22,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,8
23,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,2
24,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,3
25,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,19
26,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,18
27,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,15
28,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,7
29,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,20
30,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,12
31,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,14
32,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,10
33,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,11
34,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,16
35,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,13
36,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,5
