gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

119,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0,False,10
120,1,3,10.6,4.0,4.2,1.9,8,54,0,0,0,0,0,0,True,4
121,1,1,1.4,2.0,6.2,1.0,27,54,0,0,0,0,2,0,False,9
122,1,3,0.5,4.0,1.2,0.6,34,54,0,0,0,0,0,0,True,12
123,1,3,1.1,0.0,1.0,0.2,20,54,0,0,0,0,1,0,False,6
124,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0,True,20
125,1,3,0.3,2.0,0.2,0.3,1,54,0,0,0,0,1,0,False,19
126,1,4,1.2,0.0,4.2,0.5,7,54,0,0,0,0,0,0,True,3
