gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

43,0,8,4.3,7.0,11.8,2.3,90,55,0,0,0,0,5,0,True,6
44,2,15,16.7,12.0,37.0,6.6,90,54,0,0,0,0,1,0,False,7
45,6,25,3.3,7.0,12.4,2.3,90,54,0,0,0,0,0,0,True,18
46,1,2,0.0,0.0,0.2,0.0,16,54,0,0,0,0,0,0,False,11
47,2,15,2.9,2.0,13.2,1.8,90,54,0,0,0,0,1,0,True,16
48,8,16,22.9,25.0,42.0,9.0,83,54,1,0,0,0,1,0,False,13
49,2,16,35.9,37.0,26.4,9.9,90,54,0,0,0,0,1,0,False,1
50,1,2,2.1,4.0,4.0,1.0,90,54,0,0,1,0,1,0,True,2
