gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

106,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,7
107,2,18,0.0,0.0,38.6,3.9,90,44,0,0,0,0,2,5,False,9
108,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,16
109,2,19,0.0,0.0,22.6,2.3,82,44,0,0,0,0,2,3,False,4
110,2,9,0.0,0.0,7.2,0.7,90,44,0,0,0,0,1,1,True,18
111,8,39,10.0,0.0,88.0,9.8,90,44,0,0,0,0,2,12,False,10
112,2,12,0.0,0.0,19.6,2.0,90,44,0,0,0,0,1,2,False,8
113,3,13,0.0,0.0,17.4,1.7,90,45,0,0,0,0,1,3,True,15
