gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,17
2,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,3
3,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,8
4,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,7
5,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,19
6,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,1
7,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,5
8,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,14
9,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,4
10,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,11
11,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,10
12,2,13,0.0,0.0,22.8,2.3,82,44,0,0,0,0,2,3,False,20
13,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,13
14,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,12
15,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,6
16,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,9
17,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,15
18,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,16
19,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,14
20,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,18
21,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,5
22,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,11
23,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,4
24,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,18
25,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,3
26,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,17
27,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,16
28,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,9
29,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,20
30,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,10
31,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,12
32,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,7
33,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,8
34,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,1
35,?,?,?,?,?,?,13,?,?,?,?,?,?,?,?,19
