gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

128,?,?,?,?,?,?,77,?,?,?,?,?,?,?,?,5
129,?,?,?,?,?,?,77,?,?,?,?,?,?,?,?,3
130,?,?,?,?,?,?,77,?,?,?,?,?,?,?,?,18
131,?,?,?,?,?,?,77,?,?,?,?,?,?,?,?,4
132,?,?,?,?,?,?,77,?,?,?,?,?,?,?,?,13
133,?,?,?,?,?,?,77,?,?,?,?,?,?,?,?,19
134,?,?,?,?,?,?,77,?,?,?,?,?,?,?,?,16
135,?,?,?,?,?,?,77,?,?,?,?,?,?,?,?,14
136,?,?,?,?,?,?,77,?,?,?,?,?,?,?,?,1
137,?,?,?,?,?,?,77,?,?,?,?,?,?,?,?,11
138,?,?,?,?,?,?,77,?,?,?,?,?,?,?,?,16
139,?,?,?,?,?,?,77,?,?,?,?,?,?,?,?,15
140,?,?,?,?,?,?,77,?,?,?,?,?,?,?,?,8
141,?,?,?,?,?,?,77,?,?,?,?,?,?,?,?,13
142,?,?,?,?,?,?,77,?,?,?,?,?,?,?,?,4
143,?,?,?,?,?,?,77,?,?,?,?,?,?,?,?,18
144,?,?,?,?,?,?,77,?,?,?,?,?,?,?,?,5
145,?,?,?,?,?,?,77,?,?,?,?,?,?,?,?,9
146,?,?,?,?,?,?,77,?,?,?,?,?,?,?,?,6
147,?,?,?,?,?,?,77,?,?,?,?,?,?,?,?,2
148,?,?,?,?,?,?,77,?,?,?,?,?,?,?,?,12
149,?,?,?,?,?,?,77,?,?,?,?,?,?,?,?,20
150,?,?,?,?,?,?,77,?,?,?,?,?,?,?,?,17
