gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

50,?,?,?,?,?,?,37,?,?,?,?,?,?,?,?,11
51,?,?,?,?,?,?,37,?,?,?,?,?,?,?,?,15
52,?,?,?,?,?,?,37,?,?,?,?,?,?,?,?,16
53,?,?,?,?,?,?,37,?,?,?,?,?,?,?,?,5
54,?,?,?,?,?,?,37,?,?,?,?,?,?,?,?,7
55,?,?,?,?,?,?,37,?,?,?,?,?,?,?,?,12
56,?,?,?,?,?,?,37,?,?,?,?,?,?,?,?,8
57,?,?,?,?,?,?,37,?,?,?,?,?,?,?,?,9
58,?,?,?,?,?,?,37,?,?,?,?,?,?,?,?,20
59,?,?,?,?,?,?,37,?,?,?,?,?,?,?,?,6
60,?,?,?,?,?,?,37,?,?,?,?,?,?,?,?,8
61,?,?,?,?,?,?,37,?,?,?,?,?,?,?,?,14
62,?,?,?,?,?,?,37,?,?,?,?,?,?,?,?,1
63,?,?,?,?,?,?,37,?,?,?,?,?,?,?,?,7
64,?,?,?,?,?,?,37,?,?,?,?,?,?,?,?,5
65,?,?,?,?,?,?,37,?,?,?,?,?,?,?,?,16
66,?,?,?,?,?,?,37,?,?,?,?,?,?,?,?,3
67,?,?,?,?,?,?,37,?,?,?,?,?,?,?,?,19
68,?,?,?,?,?,?,37,?,?,?,?,?,?,?,?,18
69,?,?,?,?,?,?,37,?,?,?,?,?,?,?,?,17
70,?,?,?,?,?,?,37,?,?,?,?,?,?,?,?,4
71,?,?,?,?,?,?,37,?,?,?,?,?,?,?,?,10
