gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

120,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0,True,18
121,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0,False,8
122,0,0,0.0,0.0,0.0,0.0,0,53,0,0,0,0,0,0,True,20
123,1,3,0.0,0.0,0.8,0.1,11,53,0,0,0,0,0,0,False,7
124,6,27,1.6,21.0,21.6,4.4,90,53,0,0,0,0,0,0,True,2
125,2,12,8.3,11.0,18.2,3.8,90,53,0,0,0,0,1,0,True,16
126,1,17,0.8,4.0,12.4,1.7,90,53,0,0,0,0,3,0,False,10
127,2,12,1.5,4.0,8.6,1.4,90,53,0,0,0,0,1,0,True,6
