gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

82,5,23,13.8,3.0,29.4,4.6,90,50,0,1,0,0,1,0,False,16
83,2,8,1.1,35.0,11.8,4.8,88,50,0,0,0,0,2,0,True,19
84,1,12,1.5,3.0,22.0,2.7,90,50,0,0,1,0,1,0,False,1
85,3,13,3.9,14.0,22.6,4.1,90,50,0,0,0,0,0,0,True,14
86,2,8,1.0,11.0,16.6,2.9,90,50,0,0,1,0,0,0,False,18
87,3,13,1.4,2.0,28.0,3.1,90,50,0,0,0,0,0,0,True,12
88,2,16,14.6,23.0,20.6,5.8,90,50,0,0,0,0,2,0,False,13
89,0,1,1.3,0.0,1.8,0.3,45,50,0,0,1,0,2,0,True,20
