gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,3
2,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,7
3,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,9
4,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,6
5,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,16
6,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,8
7,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,10
8,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,18
9,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,1
10,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,19
11,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,5
12,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,17
13,1,9,0.0,0.0,7.8,0.8,90,44,0,0,0,0,3,2,True,12
14,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,20
15,?,?,?,?,?,?,17,?,?,?,?,?,?,?,?,13
16,?,?,?,?,?,?,17,?,?,?,?,?,?,?,?,14
17,?,?,?,?,?,?,17,?,?,?,?,?,?,?,?,2
18,?,?,?,?,?,?,17,?,?,?,?,?,?,?,?,4
19,?,?,?,?,?,?,17,?,?,?,?,?,?,?,?,18
20,?,?,?,?,?,?,17,?,?,?,?,?,?,?,?,11
21,?,?,?,?,?,?,17,?,?,?,?,?,?,?,?,10
22,?,?,?,?,?,?,17,?,?,?,?,?,?,?,?,19
23,?,?,?,?,?,?,17,?,?,?,?,?,?,?,?,1
24,?,?,?,?,?,?,17,?,?,?,?,?,?,?,?,11
25,?,?,?,?,?,?,17,?,?,?,?,?,?,?,?,7
26,?,?,?,?,?,?,17,?,?,?,?,?,?,?,?,3
27,?,?,?,?,?,?,17,?,?,?,?,?,?,?,?,4
28,?,?,?,?,?,?,17,?,?,?,?,?,?,?,?,14
29,?,?,?,?,?,?,17,?,?,?,?,?,?,?,?,17
30,?,?,?,?,?,?,17,?,?,?,?,?,?,?,?,5
31,?,?,?,?,?,?,17,?,?,?,?,?,?,?,?,20
32,?,?,?,?,?,?,17,?,?,?,?,?,?,?,?,6
33,?,?,?,?,?,?,17,?,?,?,?,?,?,?,?,9
34,?,?,?,?,?,?,17,?,?,?,?,?,?,?,?,8
35,?,?,?,?,?,?,17,?,?,?,?,?,?,?,?,16
