gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

121,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,True,1
122,0,-2,1.6,4.0,4.4,1.0,30,48,0,0,1,0,1,0,False,13
123,2,8,0.3,2.0,15.8,1.8,90,48,0,0,0,0,1,0,True,10
124,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,False,14
125,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,False,3
126,1,3,0.0,0.0,0.0,0.0,1,48,0,0,0,0,0,0,True,4
127,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,False,15
128,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,True,2
