gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,1,3,2.9,0.0,3.0,0.6,26,55,0,0,0,0,0,0,False,13
2,11,38,48.3,20.0,47.8,11.6,82,55,0,2,0,0,1,0,True,5
3,2,3,1.4,0.0,7.0,0.8,60,56,0,0,0,0,3,0,False,10
4,1,6,22.7,17.0,13.6,5.3,27,57,0,0,0,0,0,0,True,17
5,1,8,7.8,2.0,2.4,1.2,59,57,0,0,0,0,1,0,False,18
6,2,10,15.8,4.0,10.4,3.0,71,57,0,0,0,0,2,0,True,2
7,1,5,2.2,10.0,3.6,1.6,35,56,0,0,0,0,0,0,False,12
8,3,17,41.3,2.0,10.2,5.4,74,56,0,0,0,0,0,0,True,3
9,1,9,5.0,19.0,9.6,3.4,45,55,0,0,0,0,0,0,False,15
10,2,13,17.4,2.0,16.8,3.6,90,55,0,0,0,0,2,0,True,7
11,2,18,18.2,20.0,25.6,6.4,90,54,0,0,0,0,1,0,True,20
12,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0,False,9
13,0,0,0.0,0.0,0.0,0.0,0,53,0,0,0,0,0,0,True,16
14,0,0,0.0,0.0,0.0,0.0,0,53,0,0,0,0,0,0,False,14
15,0,0,0.0,0.0,0.0,0.0,0,53,0,0,0,0,0,0,True,4
16,?,?,?,?,?,?,21,?,?,?,?,?,?,?,?,19
17,?,?,?,?,?,?,21,?,?,?,?,?,?,?,?,11
18,?,?,?,?,?,?,21,?,?,?,?,?,?,?,?,8
19,?,?,?,?,?,?,21,?,?,?,?,?,?,?,?,3
20,?,?,?,?,?,?,21,?,?,?,?,?,?,?,?,6
21,?,?,?,?,?,?,21,?,?,?,?,?,?,?,?,12
22,?,?,?,?,?,?,21,?,?,?,?,?,?,?,?,7
23,?,?,?,?,?,?,21,?,?,?,?,?,?,?,?,15
24,?,?,?,?,?,?,21,?,?,?,?,?,?,?,?,6
25,?,?,?,?,?,?,21,?,?,?,?,?,?,?,?,5
26,?,?,?,?,?,?,21,?,?,?,?,?,?,?,?,13
27,?,?,?,?,?,?,21,?,?,?,?,?,?,?,?,8
28,?,?,?,?,?,?,21,?,?,?,?,?,?,?,?,19
29,?,?,?,?,?,?,21,?,?,?,?,?,?,?,?,14
30,?,?,?,?,?,?,21,?,?,?,?,?,?,?,?,20
31,?,?,?,?,?,?,21,?,?,?,?,?,?,?,?,9
32,?,?,?,?,?,?,21,?,?,?,?,?,?,?,?,17
33,?,?,?,?,?,?,21,?,?,?,?,?,?,?,?,10
34,?,?,?,?,?,?,21,?,?,?,?,?,?,?,?,2
35,?,?,?,?,?,?,21,?,?,?,?,?,?,?,?,18
