gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

54,?,?,?,?,?,?,89,?,?,?,?,?,?,?,?,19
55,?,?,?,?,?,?,89,?,?,?,?,?,?,?,?,11
56,?,?,?,?,?,?,89,?,?,?,?,?,?,?,?,8
57,?,?,?,?,?,?,89,?,?,?,?,?,?,?,?,3
58,?,?,?,?,?,?,89,?,?,?,?,?,?,?,?,6
59,?,?,?,?,?,?,89,?,?,?,?,?,?,?,?,12
60,?,?,?,?,?,?,89,?,?,?,?,?,?,?,?,7
61,?,?,?,?,?,?,89,?,?,?,?,?,?,?,?,15
62,?,?,?,?,?,?,89,?,?,?,?,?,?,?,?,6
63,?,?,?,?,?,?,89,?,?,?,?,?,?,?,?,5
64,?,?,?,?,?,?,89,?,?,?,?,?,?,?,?,13
65,?,?,?,?,?,?,89,?,?,?,?,?,?,?,?,8
66,?,?,?,?,?,?,89,?,?,?,?,?,?,?,?,19
67,?,?,?,?,?,?,89,?,?,?,?,?,?,?,?,14
68,?,?,?,?,?,?,89,?,?,?,?,?,?,?,?,20
69,?,?,?,?,?,?,89,?,?,?,?,?,?,?,?,9
70,?,?,?,?,?,?,89,?,?,?,?,?,?,?,?,17
71,?,?,?,?,?,?,89,?,?,?,?,?,?,?,?,10
72,?,?,?,?,?,?,89,?,?,?,?,?,?,?,?,2
73,?,?,?,?,?,?,89,?,?,?,?,?,?,?,?,18
