gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

54,?,?,?,?,?,?,69,?,?,?,?,?,?,?,?,1
55,?,?,?,?,?,?,69,?,?,?,?,?,?,?,?,16
56,?,?,?,?,?,?,69,?,?,?,?,?,?,?,?,7
57,?,?,?,?,?,?,69,?,?,?,?,?,?,?,?,9
58,?,?,?,?,?,?,69,?,?,?,?,?,?,?,?,3
59,?,?,?,?,?,?,69,?,?,?,?,?,?,?,?,15
60,?,?,?,?,?,?,69,?,?,?,?,?,?,?,?,8
61,?,?,?,?,?,?,69,?,?,?,?,?,?,?,?,9
62,?,?,?,?,?,?,69,?,?,?,?,?,?,?,?,10
63,?,?,?,?,?,?,69,?,?,?,?,?,?,?,?,4
64,?,?,?,?,?,?,69,?,?,?,?,?,?,?,?,11
65,?,?,?,?,?,?,69,?,?,?,?,?,?,?,?,10
66,?,?,?,?,?,?,69,?,?,?,?,?,?,?,?,16
67,?,?,?,?,?,?,69,?,?,?,?,?,?,?,?,1
68,?,?,?,?,?,?,69,?,?,?,?,?,?,?,?,6
69,?,?,?,?,?,?,69,?,?,?,?,?,?,?,?,13
70,?,?,?,?,?,?,69,?,?,?,?,?,?,?,?,5
71,?,?,?,?,?,?,69,?,?,?,?,?,?,?,?,14
72,?,?,?,?,?,?,69,?,?,?,?,?,?,?,?,18
73,?,?,?,?,?,?,69,?,?,?,?,?,?,?,?,12
74,?,?,?,?,?,?,69,?,?,?,?,?,?,?,?,2
