gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

54,?,?,?,?,?,?,86,?,?,?,?,?,?,?,?,18
55,?,?,?,?,?,?,86,?,?,?,?,?,?,?,?,4
56,?,?,?,?,?,?,86,?,?,?,?,?,?,?,?,13
57,?,?,?,?,?,?,86,?,?,?,?,?,?,?,?,19
58,?,?,?,?,?,?,86,?,?,?,?,?,?,?,?,16
59,?,?,?,?,?,?,86,?,?,?,?,?,?,?,?,14
60,?,?,?,?,?,?,86,?,?,?,?,?,?,?,?,1
61,?,?,?,?,?,?,86,?,?,?,?,?,?,?,?,11
62,?,?,?,?,?,?,86,?,?,?,?,?,?,?,?,16
63,?,?,?,?,?,?,86,?,?,?,?,?,?,?,?,15
64,?,?,?,?,?,?,86,?,?,?,?,?,?,?,?,8
65,?,?,?,?,?,?,86,?,?,?,?,?,?,?,?,13
66,?,?,?,?,?,?,86,?,?,?,?,?,?,?,?,4
67,?,?,?,?,?,?,86,?,?,?,?,?,?,?,?,18
68,?,?,?,?,?,?,86,?,?,?,?,?,?,?,?,5
69,?,?,?,?,?,?,86,?,?,?,?,?,?,?,?,9
70,?,?,?,?,?,?,86,?,?,?,?,?,?,?,?,6
71,?,?,?,?,?,?,86,?,?,?,?,?,?,?,?,2
72,?,?,?,?,?,?,86,?,?,?,?,?,?,?,?,12
73,?,?,?,?,?,?,86,?,?,?,?,?,?,?,?,20
74,?,?,?,?,?,?,86,?,?,?,?,?,?,?,?,17
