gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

82,2,5,1.1,8.0,2.4,1.2,90,62,0,0,0,0,0,0,True,8
83,5,12,17.7,56.0,45.2,11.9,90,62,1,0,1,0,2,0,False,9
84,0,0,0.0,0.0,0.0,0.0,0,62,0,0,0,0,0,0,True,6
85,0,0,0.0,0.0,0.0,0.0,0,62,0,0,0,0,0,0,False,15
86,6,14,1.3,77.0,38.2,11.7,90,62,1,0,0,0,0,0,True,19
87,7,32,11.8,35.0,42.0,8.9,74,62,1,0,0,0,0,0,False,18
88,2,-5,15.6,57.0,4.6,7.7,90,62,0,0,0,0,2,0,True,7
89,1,2,11.6,4.0,1.2,1.7,58,62,0,0,0,0,2,0,True,11
