gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

8,14,50,15.9,123.0,97.4,23.6,90,60,2,1,0,0,1,0,False,14
9,2,2,1.3,30.0,0.0,2.6,75,61,0,0,0,0,1,0,True,4
10,2,4,4.3,24.0,0.0,2.7,70,61,0,0,0,0,3,0,False,11
11,2,-2,3.8,10.0,0.0,0.7,85,61,0,0,0,0,0,0,True,10
12,2,7,1.7,20.0,11.0,3.3,90,60,0,0,0,0,2,0,False,20
13,1,-1,23.0,39.0,6.8,6.9,90,60,0,0,1,0,0,0,True,13
14,2,5,1.1,25.0,12.4,3.9,90,59,0,0,0,0,2,0,False,12
15,2,2,2.1,4.0,3.6,1.0,90,59,0,0,0,0,2,0,False,6
