gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

123,1,3,0.0,0.0,0.2,0.0,1,44,0,0,0,0,0,0,True,19
124,3,21,13.3,0.0,25.0,3.8,90,44,0,1,1,0,3,0,False,4
125,2,12,0.6,0.0,14.6,1.5,90,44,0,0,0,0,1,0,True,17
126,6,27,10.4,11.0,26.6,4.8,90,44,0,1,0,0,1,0,False,16
127,0,9,4.4,1.0,19.6,2.5,90,44,0,0,1,0,2,0,True,14
128,1,12,0.2,26.0,16.8,4.3,90,44,0,0,0,0,2,0,False,9
129,0,15,1.2,0.0,16.0,1.7,90,44,0,0,0,0,5,0,False,10
130,2,15,0.0,0.0,25.6,2.6,90,44,0,0,0,0,1,0,True,6
