gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,8
2,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,11
3,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,13
4,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,19
5,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,4
6,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,14
7,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,16
8,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,7
9,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,18
10,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,3
11,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,17
12,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,1
13,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,10
14,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,5
15,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,6
16,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,15
17,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,2
18,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,12
19,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,9
20,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,17
21,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,7
22,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,13
23,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,11
24,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,19
25,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,8
26,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,15
27,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,2
28,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,10
29,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,5
30,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,6
31,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,4
32,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,14
33,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,16
34,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,3
35,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,1
36,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,18
37,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,9
38,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,12
39,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,17
40,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,3
41,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,8
42,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,7
43,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,19
44,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,1
45,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,5
46,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,14
47,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,4
48,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,11
49,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,10
50,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,20
51,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,13
52,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,12
53,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,6
54,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,9
55,0,6,3.1,4.0,21.8,2.9,90,44,0,0,1,0,2,0,False,15
56,?,?,?,?,?,?,15,?,?,?,?,?,?,?,?,16
57,?,?,?,?,?,?,15,?,?,?,?,?,?,?,?,14
58,?,?,?,?,?,?,15,?,?,?,?,?,?,?,?,18
59,?,?,?,?,?,?,15,?,?,?,?,?,?,?,?,5
60,?,?,?,?,?,?,15,?,?,?,?,?,?,?,?,11
61,?,?,?,?,?,?,15,?,?,?,?,?,?,?,?,4
62,?,?,?,?,?,?,15,?,?,?,?,?,?,?,?,18
63,?,?,?,?,?,?,15,?,?,?,?,?,?,?,?,3
64,?,?,?,?,?,?,15,?,?,?,?,?,?,?,?,17
65,?,?,?,?,?,?,15,?,?,?,?,?,?,?,?,16
66,?,?,?,?,?,?,15,?,?,?,?,?,?,?,?,9
67,?,?,?,?,?,?,15,?,?,?,?,?,?,?,?,20
68,?,?,?,?,?,?,15,?,?,?,?,?,?,?,?,10
69,?,?,?,?,?,?,15,?,?,?,?,?,?,?,?,12
70,?,?,?,?,?,?,15,?,?,?,?,?,?,?,?,7
71,?,?,?,?,?,?,15,?,?,?,?,?,?,?,?,8
72,?,?,?,?,?,?,15,?,?,?,?,?,?,?,?,1
73,?,?,?,?,?,?,15,?,?,?,?,?,?,?,?,19
