gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

132,?,?,?,?,?,?,48,?,?,?,?,?,?,?,?,9
133,?,?,?,?,?,?,48,?,?,?,?,?,?,?,?,20
134,?,?,?,?,?,?,48,?,?,?,?,?,?,?,?,15
135,?,?,?,?,?,?,48,?,?,?,?,?,?,?,?,17
136,?,?,?,?,?,?,48,?,?,?,?,?,?,?,?,12
137,?,?,?,?,?,?,48,?,?,?,?,?,?,?,?,20
138,?,?,?,?,?,?,48,?,?,?,?,?,?,?,?,19
139,?,?,?,?,?,?,48,?,?,?,?,?,?,?,?,16
140,?,?,?,?,?,?,48,?,?,?,?,?,?,?,?,14
141,?,?,?,?,?,?,48,?,?,?,?,?,?,?,?,19
142,?,?,?,?,?,?,48,?,?,?,?,?,?,?,?,18
143,?,?,?,?,?,?,48,?,?,?,?,?,?,?,?,3
144,?,?,?,?,?,?,48,?,?,?,?,?,?,?,?,11
145,?,?,?,?,?,?,48,?,?,?,?,?,?,?,?,2
146,?,?,?,?,?,?,48,?,?,?,?,?,?,?,?,4
147,?,?,?,?,?,?,48,?,?,?,?,?,?,?,?,5
148,?,?,?,?,?,?,48,?,?,?,?,?,?,?,?,1
149,?,?,?,?,?,?,48,?,?,?,?,?,?,?,?,6
150,?,?,?,?,?,?,48,?,?,?,?,?,?,?,?,13
