gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

18,?,?,?,?,?,?,63,?,?,?,?,?,?,?,?,20
19,?,?,?,?,?,?,63,?,?,?,?,?,?,?,?,2
20,?,?,?,?,?,?,63,?,?,?,?,?,?,?,?,17
21,?,?,?,?,?,?,63,?,?,?,?,?,?,?,?,7
22,?,?,?,?,?,?,63,?,?,?,?,?,?,?,?,12
23,?,?,?,?,?,?,63,?,?,?,?,?,?,?,?,3
24,?,?,?,?,?,?,63,?,?,?,?,?,?,?,?,17
25,?,?,?,?,?,?,63,?,?,?,?,?,?,?,?,13
26,?,?,?,?,?,?,63,?,?,?,?,?,?,?,?,10
27,?,?,?,?,?,?,63,?,?,?,?,?,?,?,?,20
28,?,?,?,?,?,?,63,?,?,?,?,?,?,?,?,9
29,?,?,?,?,?,?,63,?,?,?,?,?,?,?,?,15
30,?,?,?,?,?,?,63,?,?,?,?,?,?,?,?,1
31,?,?,?,?,?,?,63,?,?,?,?,?,?,?,?,4
32,?,?,?,?,?,?,63,?,?,?,?,?,?,?,?,18
33,?,?,?,?,?,?,63,?,?,?,?,?,?,?,?,19
34,?,?,?,?,?,?,63,?,?,?,?,?,?,?,?,6
35,?,?,?,?,?,?,63,?,?,?,?,?,?,?,?,5
36,?,?,?,?,?,?,63,?,?,?,?,?,?,?,?,11
