gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

56,?,?,?,?,?,?,4,?,?,?,?,?,?,?,?,15
57,?,?,?,?,?,?,4,?,?,?,?,?,?,?,?,17
58,?,?,?,?,?,?,4,?,?,?,?,?,?,?,?,3
59,?,?,?,?,?,?,4,?,?,?,?,?,?,?,?,6
60,?,?,?,?,?,?,4,?,?,?,?,?,?,?,?,8
61,?,?,?,?,?,?,4,?,?,?,?,?,?,?,?,2
62,?,?,?,?,?,?,4,?,?,?,?,?,?,?,?,3
63,?,?,?,?,?,?,4,?,?,?,?,?,?,?,?,19
64,?,?,?,?,?,?,4,?,?,?,?,?,?,?,?,18
65,?,?,?,?,?,?,4,?,?,?,?,?,?,?,?,15
66,?,?,?,?,?,?,4,?,?,?,?,?,?,?,?,7
67,?,?,?,?,?,?,4,?,?,?,?,?,?,?,?,20
68,?,?,?,?,?,?,4,?,?,?,?,?,?,?,?,12
69,?,?,?,?,?,?,4,?,?,?,?,?,?,?,?,14
70,?,?,?,?,?,?,4,?,?,?,?,?,?,?,?,10
71,?,?,?,?,?,?,4,?,?,?,?,?,?,?,?,11
72,?,?,?,?,?,?,4,?,?,?,?,?,?,?,?,16
73,?,?,?,?,?,?,4,?,?,?,?,?,?,?,?,13
74,?,?,?,?,?,?,4,?,?,?,?,?,?,?,?,5
