gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

132,?,?,?,?,?,?,65,?,?,?,?,?,?,?,?,18
133,?,?,?,?,?,?,65,?,?,?,?,?,?,?,?,13
134,?,?,?,?,?,?,65,?,?,?,?,?,?,?,?,5
135,?,?,?,?,?,?,65,?,?,?,?,?,?,?,?,1
136,?,?,?,?,?,?,65,?,?,?,?,?,?,?,?,14
137,?,?,?,?,?,?,65,?,?,?,?,?,?,?,?,10
138,?,?,?,?,?,?,65,?,?,?,?,?,?,?,?,5
139,?,?,?,?,?,?,65,?,?,?,?,?,?,?,?,20
140,?,?,?,?,?,?,65,?,?,?,?,?,?,?,?,6
141,?,?,?,?,?,?,65,?,?,?,?,?,?,?,?,18
142,?,?,?,?,?,?,65,?,?,?,?,?,?,?,?,8
143,?,?,?,?,?,?,65,?,?,?,?,?,?,?,?,11
144,?,?,?,?,?,?,65,?,?,?,?,?,?,?,?,4
145,?,?,?,?,?,?,65,?,?,?,?,?,?,?,?,3
146,?,?,?,?,?,?,65,?,?,?,?,?,?,?,?,2
147,?,?,?,?,?,?,65,?,?,?,?,?,?,?,?,16
148,?,?,?,?,?,?,65,?,?,?,?,?,?,?,?,7
149,?,?,?,?,?,?,65,?,?,?,?,?,?,?,?,19
150,?,?,?,?,?,?,65,?,?,?,?,?,?,?,?,9
