gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

132,?,?,?,?,?,?,26,?,?,?,?,?,?,?,?,5
133,?,?,?,?,?,?,26,?,?,?,?,?,?,?,?,1
134,?,?,?,?,?,?,26,?,?,?,?,?,?,?,?,4
135,?,?,?,?,?,?,26,?,?,?,?,?,?,?,?,19
136,?,?,?,?,?,?,26,?,?,?,?,?,?,?,?,18
137,?,?,?,?,?,?,26,?,?,?,?,?,?,?,?,14
138,?,?,?,?,?,?,26,?,?,?,?,?,?,?,?,4
139,?,?,?,?,?,?,26,?,?,?,?,?,?,?,?,2
140,?,?,?,?,?,?,26,?,?,?,?,?,?,?,?,15
141,?,?,?,?,?,?,26,?,?,?,?,?,?,?,?,5
142,?,?,?,?,?,?,26,?,?,?,?,?,?,?,?,6
143,?,?,?,?,?,?,26,?,?,?,?,?,?,?,?,10
144,?,?,?,?,?,?,26,?,?,?,?,?,?,?,?,13
145,?,?,?,?,?,?,26,?,?,?,?,?,?,?,?,12
146,?,?,?,?,?,?,26,?,?,?,?,?,?,?,?,17
147,?,?,?,?,?,?,26,?,?,?,?,?,?,?,?,9
148,?,?,?,?,?,?,26,?,?,?,?,?,?,?,?,11
149,?,?,?,?,?,?,26,?,?,?,?,?,?,?,?,16
150,?,?,?,?,?,?,26,?,?,?,?,?,?,?,?,8
