gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

132,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,6
133,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,4
134,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,14
135,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,16
136,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,10
137,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,18
138,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,14
139,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,11
140,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,2
141,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,6
142,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,20
143,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,5
144,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,15
145,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,8
146,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,3
147,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,1
148,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,13
149,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,9
150,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,7
