gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

18,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,20
19,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,2
20,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,17
21,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,7
22,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,12
23,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,3
24,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,17
25,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,13
26,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,10
27,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,20
28,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,9
29,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,15
30,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,1
31,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,4
32,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,18
33,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,19
34,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,6
35,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,5
36,?,?,?,?,?,?,3,?,?,?,?,?,?,?,?,11
