gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

132,?,?,?,?,?,?,76,?,?,?,?,?,?,?,?,17
133,?,?,?,?,?,?,76,?,?,?,?,?,?,?,?,16
134,?,?,?,?,?,?,76,?,?,?,?,?,?,?,?,1
135,?,?,?,?,?,?,76,?,?,?,?,?,?,?,?,4
136,?,?,?,?,?,?,76,?,?,?,?,?,?,?,?,5
137,?,?,?,?,?,?,76,?,?,?,?,?,?,?,?,13
138,?,?,?,?,?,?,76,?,?,?,?,?,?,?,?,1
139,?,?,?,?,?,?,76,?,?,?,?,?,?,?,?,9
140,?,?,?,?,?,?,76,?,?,?,?,?,?,?,?,12
141,?,?,?,?,?,?,76,?,?,?,?,?,?,?,?,17
142,?,?,?,?,?,?,76,?,?,?,?,?,?,?,?,3
143,?,?,?,?,?,?,76,?,?,?,?,?,?,?,?,8
144,?,?,?,?,?,?,76,?,?,?,?,?,?,?,?,19
145,?,?,?,?,?,?,76,?,?,?,?,?,?,?,?,18
146,?,?,?,?,?,?,76,?,?,?,?,?,?,?,?,7
147,?,?,?,?,?,?,76,?,?,?,?,?,?,?,?,15
148,?,?,?,?,?,?,76,?,?,?,?,?,?,?,?,14
149,?,?,?,?,?,?,76,?,?,?,?,?,?,?,?,10
150,?,?,?,?,?,?,76,?,?,?,?,?,?,?,?,20
