gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

86,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,6
87,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,15
88,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,19
89,0,0,0.0,0.0,0.0,0.0,0,39,0,0,0,0,0,0,False,18
90,0,0,0.0,0.0,0.0,0.0,0,39,0,0,0,0,0,0,True,7
91,0,0,0.0,0.0,0.0,0.0,0,39,0,0,0,0,0,0,True,11
92,0,0,0.0,0.0,0.0,0.0,0,39,0,0,0,0,0,0,False,17
93,0,0,0.0,0.0,0.0,0.0,0,39,0,0,0,0,0,0,True,13
