gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

48,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,11
49,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,10
50,1,3,1.0,1.0,9.0,1.1,45,45,0,0,0,0,1,0,False,20
51,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,13
52,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,12
53,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,6
54,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,9
55,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,15
