gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

86,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,True,8
87,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,True,14
88,1,3,6.1,0.0,6.0,1.2,45,47,0,0,0,0,1,0,False,12
89,2,9,9.7,4.0,8.6,2.2,82,47,0,0,0,0,2,0,True,9
90,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,False,10
91,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,False,1
92,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,True,20
93,0,0,0.0,0.0,0.0,0.0,0,46,0,0,0,0,0,0,False,7
