gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

57,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,15
58,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,2
59,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,20
60,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,3
61,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,17
62,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,2
63,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,8
64,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,4
65,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,12
66,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,10
67,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,7
68,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,16
69,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,6
70,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,14
71,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,13
72,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,19
73,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,11
74,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,1
